"","pd_12.14","pd_12.2","pd_12.7","pd_13.10","pd_13.13","pd_13.9","pd_14.11","pd_14.12","pd_14.8","pd_15.3","pd_15.6"
"TRINITY_DN58535_c2_g2_i3",30,0,41,23,39,9,47,0,0,19,5
"TRINITY_DN67005_c3_g1_i4",46,110,71,36,23,0,0,0,96,122,0
"TRINITY_DN58698_c1_g3_i4",5,8,7,4,18,36,34,21,13,21,32
"TRINITY_DN62287_c1_g1_i3",23,53,28,15,93,101,112,68,59,98,108
"TRINITY_DN60385_c0_g1_i6",0,12,0,0,0,32,38,36,14,23,44
"TRINITY_DN61285_c0_g1_i6",27,21,25,16,27,1,59,0,0,48,0
"TRINITY_DN67496_c14_g1_i2",0,11,0,0,34,8,13,10,24,26,7
"TRINITY_DN54903_c0_g2_i2",0,21,0,0,19,74,27,69,26,56,8
"TRINITY_DN61622_c2_g3_i1",47,135,76,85,68,32,71,28,124,42,43
"TRINITY_DN67334_c3_g2_i1",0,77,0,0,110,46,124,80,58,98,140
"TRINITY_DN58698_c1_g3_i2",22,8,13,7,10,0,20,0,15,14,4
"TRINITY_DN63169_c1_g1_i4",14,19,1,24,10,0,9,0,33,17,0
"TRINITY_DN64059_c0_g1_i8",19,31,29,62,76,0,26,0,0,44,0
"TRINITY_DN64749_c0_g4_i4",0,0,0,0,19,22,24,13,0,22,25
"TRINITY_DN61619_c1_g1_i21",2,37,51,66,94,0,27,0,23,0,0
"TRINITY_DN59768_c3_g1_i2",26,11,60,38,38,14,51,10,22,19,6
"TRINITY_DN65841_c3_g1_i9",0,69,0,0,77,22,18,67,61,7,30
"TRINITY_DN52928_c0_g1_i3",0,55,0,0,42,0,184,122,99,89,0
"TRINITY_DN66234_c0_g1_i1",26,18,32,49,50,89,86,100,26,48,117
"TRINITY_DN65448_c0_g1_i13",0,22,0,0,9,20,7,24,31,13,11
"TRINITY_DN61239_c0_g2_i5",312,330,480,289,446,202,272,134,351,330,163
"TRINITY_DN56599_c0_g1_i8",0,10,0,0,16,16,9,11,14,1,13
"TRINITY_DN64069_c0_g1_i2",0,12,0,0,8,11,21,15,8,13,24
"TRINITY_DN61308_c2_g1_i2",4,2,1,0,10,18,13,28,0,13,25
"TRINITY_DN60380_c2_g1_i8",0,39,2,0,15,45,24,21,55,25,77
"TRINITY_DN59821_c0_g1_i7",5,11,3,0,9,22,43,34,20,18,28
"TRINITY_DN55591_c0_g2_i3",61,42,55,95,53,28,34,19,43,19,22
"TRINITY_DN65635_c0_g1_i6",30,51,49,16,41,0,56,0,16,45,0
"TRINITY_DN56677_c0_g1_i4",0,13,0,0,21,20,4,21,27,19,22
"TRINITY_DN58992_c1_g3_i6",2,29,4,12,33,36,54,25,45,26,60
"TRINITY_DN57287_c4_g1_i8",0,43,0,0,0,25,23,24,29,11,10
"TRINITY_DN65522_c1_g1_i3",0,49,0,0,80,0,80,51,25,53,56
"TRINITY_DN63070_c0_g1_i6",196,170,185,178,205,110,164,101,164,138,114
"TRINITY_DN56147_c2_g2_i4",1210,919,1110,929,1164,1033,1728,912,1135,914,1175
"TRINITY_DN63641_c0_g1_i9",153,231,103,101,53,34,75,17,102,24,30
"TRINITY_DN58118_c1_g1_i8",35,17,26,25,26,0,15,0,0,20,0
"TRINITY_DN62892_c4_g1_i5",55,37,8,118,66,0,0,0,11,77,0
"TRINITY_DN59124_c0_g1_i4",0,0,0,0,33,47,46,68,0,17,13
"TRINITY_DN61313_c0_g2_i9",60,25,44,46,75,13,96,3,38,37,27
"TRINITY_DN59059_c1_g3_i8",0,7,0,0,17,9,11,21,15,22,18
"TRINITY_DN57385_c0_g1_i2",33,17,22,0,11,0,22,0,11,8,0
"TRINITY_DN66628_c1_g1_i2",20,31,23,17,30,71,50,50,38,41,70
"TRINITY_DN65614_c0_g1_i1",0,24,0,0,70,28,0,36,37,19,39
"TRINITY_DN60726_c1_g2_i8",27,12,0,51,18,0,5,0,15,18,0
"TRINITY_DN66943_c3_g1_i7",0,21,0,0,6,17,31,18,12,9,21
"TRINITY_DN57372_c0_g1_i2",385,463,641,397,441,313,498,247,448,260,349
"TRINITY_DN63367_c3_g1_i6",0,0,0,0,31,34,42,37,28,25,71
"TRINITY_DN64619_c0_g1_i1",0,3,3,0,23,31,30,25,9,19,31
"TRINITY_DN67005_c3_g1_i10",0,18,10,82,16,0,45,0,59,10,0
"TRINITY_DN54579_c0_g1_i2",0,0,0,0,16,11,72,31,0,29,47
"TRINITY_DN51946_c0_g1_i5",0,11,0,0,13,16,17,20,17,0,10
"TRINITY_DN60794_c2_g1_i11",0,4,0,0,19,23,24,59,0,14,16
"TRINITY_DN63367_c3_g1_i2",113,60,88,96,73,55,89,55,74,58,52
"TRINITY_DN65560_c3_g1_i3",0,12,0,0,27,20,11,19,1,21,45
"TRINITY_DN66477_c0_g1_i27",17,36,32,36,28,0,5,0,0,25,0
"TRINITY_DN60075_c0_g1_i5",3,10,4,5,18,28,42,30,28,19,19
"TRINITY_DN66477_c0_g1_i9",19,20,26,18,10,0,45,0,0,29,0
"TRINITY_DN46280_c0_g1_i2",0,0,0,0,9,15,122,47,12,17,28
"TRINITY_DN62785_c0_g1_i8",0,9,0,0,17,25,27,15,10,0,21
"TRINITY_DN59087_c0_g1_i5",159,135,143,153,152,115,200,98,190,125,107
"TRINITY_DN66892_c4_g1_i5",15,14,16,16,13,4,9,0,11,4,2
"TRINITY_DN56326_c0_g4_i6",23,108,50,163,93,2,27,0,50,19,0
"TRINITY_DN60021_c0_g1_i9",0,14,0,0,21,18,0,26,32,26,28
"TRINITY_DN67419_c3_g1_i6",47,46,60,24,45,0,0,0,59,38,0
"TRINITY_DN55994_c2_g1_i3",0,15,0,0,17,11,0,41,24,10,50
"TRINITY_DN64114_c0_g1_i6",160,213,0,237,58,0,57,0,45,108,0
"TRINITY_DN58605_c0_g1_i3",9,13,28,19,21,0,39,0,26,26,0
"TRINITY_DN62082_c2_g1_i7",99,80,92,88,85,66,108,45,95,76,67
"TRINITY_DN62677_c0_g1_i2",7,44,0,7,93,71,108,53,80,24,35
"TRINITY_DN59137_c3_g1_i7",75,167,226,197,104,0,304,0,0,211,0
"TRINITY_DN54095_c0_g1_i1",109,110,130,138,114,69,126,56,142,97,99
"TRINITY_DN36186_c0_g1_i1",5,88,62,46,20,2,7,0,51,14,0
"TRINITY_DN62785_c0_g1_i10",0,1,0,0,29,27,29,16,11,25,19
"TRINITY_DN57249_c0_g3_i7",50,33,46,44,95,161,95,99,69,105,183
