contig,pd_12.14,pd_12.2,pd_12.7,pd_13.10,pd_13.13,pd_13.9,pd_14.11,pd_14.12,pd_14.8,pd_15.3,pd_15.6,Blast.Annot,UniProt
TRINITY_DN47386_c0_g1_i2,0,5,0,0,6,4,54,10,11,23,13,TRINITY_DN47386_c0_g1_i2,RBCMT_ARATH
TRINITY_DN52928_c0_g1_i8,82,0,78,65,0,60,8,4,3,2,82,TRINITY_DN52928_c0_g1_i8,NANO1_DANRE
TRINITY_DN54579_c0_g1_i2,0,0,0,0,16,11,72,31,0,29,47,TRINITY_DN54579_c0_g1_i2,ATPB_TETOB
TRINITY_DN54903_c0_g2_i2,0,21,0,0,19,74,27,69,26,56,8,TRINITY_DN54903_c0_g2_i2,RHG20_MOUSE
TRINITY_DN56045_c1_g1_i3,38,9,12,12,0,22,0,40,0,0,72,TRINITY_DN56045_c1_g1_i3,NTRI_MOUSE
TRINITY_DN56591_c2_g1_i2,9,34,6,14,0,12,0,24,32,0,15,TRINITY_DN56591_c2_g1_i2,RH39_ARATH
TRINITY_DN57455_c0_g1_i4,26,0,14,18,0,21,0,16,12,0,25,TRINITY_DN57455_c0_g1_i4,TARB1_HUMAN
TRINITY_DN57839_c0_g4_i2,0,6,0,0,6,25,50,39,9,15,29,TRINITY_DN57839_c0_g4_i2,CLPP2_THEEB
TRINITY_DN58430_c2_g2_i3,8,7,9,8,0,3,0,3,12,0,2,TRINITY_DN58430_c2_g2_i3,GLPO_STRPN
TRINITY_DN59059_c1_g3_i8,0,7,0,0,17,9,11,21,15,22,18,TRINITY_DN59059_c1_g3_i8,KCNF1_HUMAN
TRINITY_DN59124_c0_g1_i4,0,0,0,0,33,47,46,68,0,17,13,TRINITY_DN59124_c0_g1_i4,XRN1_MOUSE
TRINITY_DN59443_c1_g2_i9,25,15,18,12,0,10,0,19,29,1,5,,
TRINITY_DN60380_c2_g1_i8,0,39,2,0,15,45,24,21,55,25,77,TRINITY_DN60380_c2_g1_i8,VPS25_DANRE
TRINITY_DN60794_c2_g1_i11,0,4,0,0,19,23,24,59,0,14,16,TRINITY_DN60794_c2_g1_i11,LONM_BOVIN
TRINITY_DN62287_c1_g1_i3,23,53,28,15,93,101,112,68,59,98,108,TRINITY_DN62287_c1_g1_i3,PWP2_PONAB
TRINITY_DN62417_c0_g1_i11,0,9,0,0,30,0,15,0,36,26,0,TRINITY_DN62417_c0_g1_i11,WBP4_CHICK
TRINITY_DN62569_c1_g1_i2,0,12,0,0,16,9,29,36,7,8,18,TRINITY_DN62569_c1_g1_i2,SYVN1_HUMAN
TRINITY_DN62677_c0_g1_i2,7,44,0,7,93,71,108,53,80,24,35,TRINITY_DN62677_c0_g1_i2,SHD_HUMAN
TRINITY_DN62767_c0_g1_i4,28,30,62,15,0,0,0,15,42,0,10,TRINITY_DN62767_c0_g1_i4,RUB2_ARATH
TRINITY_DN62785_c0_g1_i10,0,1,0,0,29,27,29,16,11,25,19,TRINITY_DN62785_c0_g1_i10,AGRD1_HUMAN
TRINITY_DN63617_c0_g1_i1,54,21,46,9,0,41,2,16,14,0,49,TRINITY_DN63617_c0_g1_i1,KI21A_MOUSE
TRINITY_DN63884_c3_g4_i8,0,0,0,0,30,25,19,10,0,9,16,TRINITY_DN63884_c3_g4_i8,GAMTA_XENLA
TRINITY_DN64069_c0_g1_i2,0,12,0,0,8,11,21,15,8,13,24,TRINITY_DN64069_c0_g1_i2,IRS4_SCLS1
TRINITY_DN64168_c0_g1_i2,22,4,22,17,0,0,0,0,13,0,0,TRINITY_DN64168_c0_g1_i2,SSU72_XENLA
TRINITY_DN64527_c1_g1_i5,0,5,1,0,26,15,27,7,24,14,4,TRINITY_DN64527_c1_g1_i5,MTHR_HUMAN
TRINITY_DN64619_c0_g1_i1,0,3,3,0,23,31,30,25,9,19,31,TRINITY_DN64619_c0_g1_i1,MEC2_CAEEL
TRINITY_DN64680_c4_g2_i12,11,6,4,8,0,12,0,12,16,0,15,TRINITY_DN64680_c4_g2_i12,CE290_MOUSE
TRINITY_DN64711_c0_g2_i2,0,14,0,0,17,0,41,0,52,38,0,TRINITY_DN64711_c0_g2_i2,MEX3B_MOUSE
TRINITY_DN64749_c0_g4_i4,0,0,0,0,19,22,24,13,0,22,25,TRINITY_DN64749_c0_g4_i4,MOT2_HUMAN
TRINITY_DN64796_c0_g1_i10,0,4,0,0,9,10,13,9,9,13,11,TRINITY_DN64796_c0_g1_i10,GGNB2_CHICK
TRINITY_DN64803_c0_g2_i4,15,0,29,39,3,14,6,7,0,0,17,TRINITY_DN64803_c0_g2_i4,DCAF5_MOUSE
TRINITY_DN65019_c0_g1_i1,14,0,29,6,0,6,0,19,4,0,11,TRINITY_DN65019_c0_g1_i1,DCAM_XENLA
TRINITY_DN65522_c1_g1_i3,0,49,0,0,80,0,80,51,25,53,56,TRINITY_DN65522_c1_g1_i3,NSP4_ROTP5
