Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	kmer_content	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
10-17_R1_75_cleaned	pass	0.0	pass	97.6920994318	Sanger / Illumina 1.9	fail	pass	warn	75-101	Conventional base calls	pass	pass	5174362.0	pass	fail	pass	41.0	70.3112313914	10-17_R1_75_cleaned.fastq	fail	pass
10-17_R2_75_cleaned	pass	0.0	pass	98.0083840288	Sanger / Illumina 1.9	fail	pass	warn	75-101	Conventional base calls	pass	pass	5174362.0	pass	fail	pass	41.0	70.1189715573	10-17_R2_75_cleaned.fastq	fail	pass
10-18_R1_75_cleaned	pass	0.0	pass	97.4409836329	Sanger / Illumina 1.9	fail	pass	warn	75-101	Conventional base calls	pass	pass	4663935.0	pass	fail	pass	41.0	75.718621597	10-18_R1_75_cleaned.fastq	fail	pass
10-18_R2_75_cleaned	pass	0.0	pass	97.6200052102	Sanger / Illumina 1.9	fail	pass	warn	75-101	Conventional base calls	pass	pass	4663935.0	pass	fail	pass	41.0	75.5503706588	10-18_R2_75_cleaned.fastq	fail	pass
10-20_R1_75_cleaned	pass	0.0	pass	97.6561831812	Sanger / Illumina 1.9	fail	pass	warn	75-101	Conventional base calls	pass	pass	6128051.0	pass	fail	pass	41.0	72.7832550219	10-20_R1_75_cleaned.fastq	fail	pass
10-20_R2_75_cleaned	pass	0.0	pass	97.8063271667	Sanger / Illumina 1.9	fail	pass	warn	75-101	Conventional base calls	pass	pass	6128051.0	pass	fail	pass	41.0	72.5615376107	10-20_R2_75_cleaned.fastq	fail	pass
10-28_R1_75_cleaned	pass	0.0	pass	97.6782302419	Sanger / Illumina 1.9	fail	pass	warn	75-101	Conventional base calls	pass	pass	6575475.0	pass	fail	pass	41.0	71.3231403026	10-28_R1_75_cleaned.fastq	fail	pass
10-28_R2_75_cleaned	pass	0.0	pass	97.7700103795	Sanger / Illumina 1.9	fail	pass	warn	75-101	Conventional base calls	pass	pass	6575475.0	pass	fail	pass	41.0	71.0977562547	10-28_R2_75_cleaned.fastq	fail	pass
10-30_R1_75_cleaned	pass	0.0	pass	97.5936165821	Sanger / Illumina 1.9	fail	pass	warn	75-101	Conventional base calls	pass	pass	5154386.0	pass	fail	pass	41.0	73.9764803589	10-30_R1_75_cleaned.fastq	fail	pass
10-30_R2_75_cleaned	pass	0.0	pass	97.4451480739	Sanger / Illumina 1.9	fail	pass	warn	75-101	Conventional base calls	pass	pass	5154386.0	pass	fail	pass	41.0	73.6259067551	10-30_R2_75_cleaned.fastq	fail	pass
10-32_R1_75_cleaned	pass	0.0	pass	97.7027778531	Sanger / Illumina 1.9	fail	pass	warn	75-101	Conventional base calls	pass	pass	5161180.0	pass	fail	pass	41.0	76.3068788988	10-32_R1_75_cleaned.fastq	fail	pass
10-32_R2_75_cleaned	pass	0.0	pass	97.8582800832	Sanger / Illumina 1.9	fail	pass	warn	75-101	Conventional base calls	pass	pass	5161180.0	pass	fail	pass	41.0	76.2915415498	10-32_R2_75_cleaned.fastq	fail	pass
12-14_R1_75_cleaned	pass	0.0	pass	99.4557024765	Sanger / Illumina 1.9	fail	pass	warn	75-101	Conventional base calls	pass	pass	3567073.0	pass	fail	pass	43.0	84.7375428616	12-14_R1_75_cleaned.fastq	fail	pass
12-14_R2_75_cleaned	pass	0.0	pass	98.9167045362	Sanger / Illumina 1.9	fail	pass	warn	75-101	Conventional base calls	pass	pass	3567073.0	pass	fail	pass	43.0	84.7526755109	12-14_R2_75_cleaned.fastq	fail	pass
12-2_R1_75_cleaned	pass	0.0	pass	99.946220236	Sanger / Illumina 1.9	warn	pass	warn	75-101	Conventional base calls	pass	warn	2947856.0	pass	fail	pass	40.0	78.2240147543	12-2_R1_75_cleaned.fastq	fail	pass
12-2_R2_75_cleaned	pass	0.0	pass	99.5677098881	Sanger / Illumina 1.9	warn	pass	warn	75-101	Conventional base calls	pass	pass	2947856.0	pass	fail	pass	40.0	77.9156639337	12-2_R2_75_cleaned.fastq	fail	pass
12-7_R1_75_cleaned	pass	0.0	pass	99.971223722	Sanger / Illumina 1.9	fail	pass	warn	75-101	Conventional base calls	pass	pass	3163578.0	pass	fail	pass	40.0	79.0694245018	12-7_R1_75_cleaned.fastq	fail	pass
12-7_R2_75_cleaned	pass	0.0	pass	99.5749262386	Sanger / Illumina 1.9	warn	pass	warn	75-101	Conventional base calls	pass	pass	3163578.0	pass	fail	pass	40.0	78.9122433627	12-7_R2_75_cleaned.fastq	fail	pass
13-10_R1_75_cleaned	pass	0.0	pass	99.6152992219	Sanger / Illumina 1.9	fail	pass	warn	75-101	Conventional base calls	pass	pass	2876277.0	pass	fail	pass	41.0	82.1684435014	13-10_R1_75_cleaned.fastq	fail	pass
