Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
10-17_R1_75_cleaned	29.6887686086	41.0	97.6920994318	5174362.0	25.0
10-17_R2_75_cleaned	29.8810284427	41.0	98.0083840288	5174362.0	25.0
10-18_R1_75_cleaned	24.281378403	41.0	97.4409836329	4663935.0	25.0
10-18_R2_75_cleaned	24.4496293412	41.0	97.6200052102	4663935.0	25.0
10-20_R1_75_cleaned	27.2167449781	41.0	97.6561831812	6128051.0	25.0
10-20_R2_75_cleaned	27.4384623893	41.0	97.8063271667	6128051.0	25.0
10-28_R1_75_cleaned	28.6768596974	41.0	97.6782302419	6575475.0	25.0
10-28_R2_75_cleaned	28.9022437453	41.0	97.7700103795	6575475.0	25.0
10-30_R1_75_cleaned	26.0235196411	41.0	97.5936165821	5154386.0	25.0
10-30_R2_75_cleaned	26.3740932449	41.0	97.4451480739	5154386.0	25.0
10-32_R1_75_cleaned	23.6931211012	41.0	97.7027778531	5161180.0	25.0
10-32_R2_75_cleaned	23.7084584502	41.0	97.8582800832	5161180.0	25.0
12-14_R1_75_cleaned	15.2624571384	43.0	99.4557024765	3567073.0	25.0
12-14_R2_75_cleaned	15.2473244891	43.0	98.9167045362	3567073.0	25.0
12-2_R1_75_cleaned	21.7759852457	40.0	99.946220236	2947856.0	16.6666666667
12-2_R2_75_cleaned	22.0843360663	40.0	99.5677098881	2947856.0	16.6666666667
12-7_R1_75_cleaned	20.9305754982	40.0	99.971223722	3163578.0	25.0
12-7_R2_75_cleaned	21.0877566373	40.0	99.5749262386	3163578.0	16.6666666667
13-10_R1_75_cleaned	17.8315564986	41.0	99.6152992219	2876277.0	25.0
13-10_R2_75_cleaned	17.8326126974	41.0	99.2314220779	2876277.0	25.0
13-13_R1_75_cleaned	20.7258514916	41.0	99.8140004164	3688976.0	25.0
13-13_R2_75_cleaned	20.8799256938	41.0	99.3501733272	3688976.0	16.6666666667
13-9_R1_75_cleaned	19.4326844859	42.0	99.8229986088	3427216.0	25.0
13-9_R2_75_cleaned	19.6044804367	42.0	99.3543149892	3427216.0	25.0
14-11_R1_75_cleaned	18.1297126386	44.0	99.1878725059	6491844.0	25.0
14-11_R2_75_cleaned	18.2860781578	44.0	98.7165162934	6491844.0	25.0
14-12_R1_75_cleaned	17.0246009268	42.0	98.9911873062	3497455.0	25.0
14-12_R2_75_cleaned	17.04938149	42.0	98.5896473293	3497455.0	25.0
14-8_R1_75_cleaned	20.1315455329	41.0	99.681617865	3167483.0	25.0
14-8_R2_75_cleaned	20.0309808922	40.0	99.2175613886	3167483.0	25.0
15-3_R1_75_cleaned	18.8089858753	41.0	99.8334891973	3179055.0	16.6666666667
15-3_R2_75_cleaned	18.8411293598	41.0	99.4192412525	3179055.0	25.0
15-6_R1_75_cleaned	20.2023184882	42.0	99.7657293275	4216439.0	25.0
15-6_R2_75_cleaned	20.4649784844	42.0	99.312908357	4216439.0	16.6666666667
C2T1S2_R1_75_cleaned	12.290972906	43.0	99.2904495353	3719641.0	8.33333333333
C2T1S2_R2_75_cleaned	12.3857787709	43.0	98.7465026867	3719641.0	16.6666666667
C2T2S2_R1_75_cleaned	10.2092977842	43.0	99.4137380865	2350371.0	16.6666666667
C2T2S2_R2_75_cleaned	10.3873827547	43.0	98.7774440716	2350371.0	25.0
C2T3S1_R1_75_cleaned	12.3496561884	44.0	99.1938579086	3680082.0	16.6666666667
C2T3S1_R2_75_cleaned	12.6210013847	44.0	98.7087741523	3680082.0	25.0
C36T1S1_R1_75_cleaned	20.8787801805	41.0	99.7515650024	3248717.0	16.6666666667
C36T1S1_R2_75_cleaned	21.1844270253	41.0	99.278928574	3248717.0	25.0
C36T2S1_R1_75_cleaned	18.0807394028	42.0	99.6997866839	5369965.0	16.6666666667
C36T2S1_R2_75_cleaned	18.3709551785	42.0	98.946088103	5369965.0	25.0
C36T3S1_R1_75_cleaned	18.5828929941	41.0	99.8930401542	4110206.0	16.6666666667
C36T3S1_R2_75_cleaned	18.7990623797	41.0	99.0809657715	4110206.0	25.0
H2T1S2_R1_75_cleaned	9.20550295849	45.0	99.180638667	2623652.0	16.6666666667
H2T1S2_R2_75_cleaned	9.42092851507	45.0	98.444339417	2623652.0	25.0
H2T2S1_R1_75_cleaned	10.1484322354	44.0	99.3046610768	2908491.0	16.6666666667
H2T2S1_R2_75_cleaned	10.3973447883	44.0	98.6767488708	2908491.0	25.0
H2T3S2_R1_75_cleaned	8.58005021576	46.0	98.9986352541	2544796.0	25.0
H2T3S2_R2_75_cleaned	8.93464348224	46.0	98.333336739	2544796.0	33.3333333333
H36T1S1_R1_75_cleaned	15.088282365	41.0	99.7180940043	3042798.0	8.33333333333
H36T1S1_R2_75_cleaned	15.4227412911	41.0	99.0299566386	3042798.0	25.0
H36T2S1_R1_75_cleaned	13.5882860158	42.0	99.6859233713	3032935.0	16.6666666667
H36T2S1_R2_75_cleaned	13.7272002053	42.0	98.9179365862	3032935.0	25.0
H36T3S1_R1_75_cleaned	12.5737929954	43.0	99.3199322283	3208417.0	16.6666666667
H36T3S1_R2_75_cleaned	12.8859034381	43.0	98.7923044293	3208417.0	25.0
