Sample.ID,RNA.microgram,DNA.microgram,Protein.microgram,Sym.GCP.Ct,Host.GCP.Ct,Solaris.Ct,rbcL.Ct,pgpase.Ct,psI.Ct,Sym.hsp70.Ct,apx1.Ct,nrt2.Ct,Host.hsp70.Ct
12-2B,8.5,11,112.5,25.76666667,18.73333333,26.05,27.9,23.86666667,23.66666667,21.66666667,26.23333333,22.13333333,23.55
12-7A,3.1,4.1,54,26.9,19.53333333,25.96666667,27.9,23.96666667,23.3,21.5,26.1,22.5,21.96666667
12-14A,4.5,3.9,78,26.96666667,19.9,25.8,25.2,22.43333333,21.9,19.5,24.2,20.33333333,20.53333333
13-9A,1.9,3.3,39,29.1,19.75,25.76666667,25.4,22.1,21,19.03333333,23.46666667,20.26666667,20.86666667
13-10A,5,8.1,93,25.86666667,19.53333333,26,22.86666667,20.83333333,19.96666667,17.4,22.23333333,18.43333333,21.1
13-13A,8.2,2.6,58.5,26.06666667,18.5,25.63333333,25.76666667,22.8,22.3,19.96666667,25.2,21.23333333,20.83333333
13-16A,12,2.6,279,24.96666667,17.93333333,26.2,23.76666667,20.93333333,20.66666667,17.83333333,22.76666667,18.8,22.4
14-8A,1.5,2.7,220,27.7,18.8,25.9,26.4,22.83333333,22.8,20.33333333,24.86666667,21.13333333,21.13333333
14-11A,3.9,4.3,69,25.7,19.4,26.43333333,21.76666667,20.7,19.7,16.35,21.63333333,18.26666667,21.65
14-12A,7.1,7.9,89,26.03333333,18.93333333,25.6,22.96666667,21.1,20.26666667,17.43333333,22.66666667,19.05,21.3
15-3A,6,5.3,53,26.26666667,19.03333333,27.3,26.03333333,22.93333333,22.66666667,19.8,25,21.13333333,22.15
15-6A,7.4,5.9,153,27.36666667,18.96666667,25.66666667,23.46666667,21.6,20.5,18,23.2,20.13333333,21
