"Plot Title: 1003846 "
"#","Time, GMT+08:00","Temp, ¡C()","Coupler Attached()","Host Connected()","Coupler Detached()","Stopped()","End Of File()"
1,06/21/10 05:00:00 PM,24.545,,,,,
2,06/21/10 06:00:00 PM,24.158,,,,,
3,06/21/10 07:00:00 PM,24.931,,,,,
4,06/21/10 08:00:00 PM,29.152,,,,,
5,06/21/10 09:00:00 PM,29.053,,,,,
6,06/21/10 10:00:00 PM,29.053,,,,,
7,06/21/10 11:00:00 PM,29.053,,,,,
8,06/22/10 12:00:00 AM,28.953,,,,,
9,06/22/10 01:00:00 AM,28.953,,,,,
10,06/22/10 02:00:00 AM,29.053,,,,,
11,06/22/10 03:00:00 AM,29.053,,,,,
12,06/22/10 04:00:00 AM,29.053,,,,,
13,06/22/10 05:00:00 AM,28.953,,,,,
14,06/22/10 06:00:00 AM,29.053,,,,,
15,06/22/10 07:00:00 AM,28.953,,,,,
16,06/22/10 08:00:00 AM,29.152,,,,,
17,06/22/10 09:00:00 AM,29.152,,,,,
18,06/22/10 10:00:00 AM,29.152,,,,,
19,06/22/10 11:00:00 AM,29.252,,,,,
20,06/22/10 12:00:00 PM,29.152,,,,,
21,06/22/10 01:00:00 PM,29.152,,,,,
22,06/22/10 02:00:00 PM,29.152,,,,,
23,06/22/10 03:00:00 PM,29.252,,,,,
24,06/22/10 04:00:00 PM,29.352,,,,,
25,06/22/10 05:00:00 PM,29.152,,,,,
26,06/22/10 06:00:00 PM,29.152,,,,,
27,06/22/10 07:00:00 PM,29.152,,,,,
28,06/22/10 08:00:00 PM,29.152,,,,,
29,06/22/10 09:00:00 PM,29.053,,,,,
30,06/22/10 10:00:00 PM,29.053,,,,,
31,06/22/10 11:00:00 PM,29.053,,,,,
32,06/23/10 12:00:00 AM,29.053,,,,,
33,06/23/10 01:00:00 AM,29.053,,,,,
34,06/23/10 02:00:00 AM,29.053,,,,,
35,06/23/10 03:00:00 AM,28.953,,,,,
36,06/23/10 04:00:00 AM,28.953,,,,,
37,06/23/10 05:00:00 AM,29.053,,,,,
38,06/23/10 06:00:00 AM,28.953,,,,,
39,06/23/10 07:00:00 AM,28.953,,,,,
40,06/23/10 08:00:00 AM,29.152,,,,,
41,06/23/10 09:00:00 AM,29.152,,,,,
42,06/23/10 10:00:00 AM,29.152,,,,,
43,06/23/10 11:00:00 AM,29.152,,,,,
44,06/23/10 12:00:00 PM,29.152,,,,,
45,06/23/10 01:00:00 PM,29.152,,,,,
46,06/23/10 02:00:00 PM,29.152,,,,,
47,06/23/10 03:00:00 PM,29.152,,,,,
48,06/23/10 04:00:00 PM,29.152,,,,,
49,06/23/10 05:00:00 PM,29.152,,,,,
50,06/23/10 06:00:00 PM,29.152,,,,,
51,06/23/10 07:00:00 PM,29.152,,,,,
52,06/23/10 08:00:00 PM,29.053,,,,,
53,06/23/10 09:00:00 PM,29.053,,,,,
54,06/23/10 10:00:00 PM,29.053,,,,,
55,06/23/10 11:00:00 PM,29.053,,,,,
56,06/24/10 12:00:00 AM,29.053,,,,,
57,06/24/10 01:00:00 AM,29.053,,,,,
58,06/24/10 02:00:00 AM,29.053,,,,,
59,06/24/10 03:00:00 AM,28.953,,,,,
60,06/24/10 04:00:00 AM,28.953,,,,,
61,06/24/10 05:00:00 AM,28.953,,,,,
62,06/24/10 06:00:00 AM,28.953,,,,,
63,06/24/10 07:00:00 AM,28.953,,,,,
64,06/24/10 08:00:00 AM,29.152,,,,,
65,06/24/10 09:00:00 AM,29.152,,,,,
66,06/24/10 10:00:00 AM,29.152,,,,,
67,06/24/10 11:00:00 AM,29.252,,,,,
68,06/24/10 12:00:00 PM,29.152,,,,,
69,06/24/10 01:00:00 PM,29.152,,,,,
70,06/24/10 02:00:00 PM,29.152,,,,,
71,06/24/10 03:00:00 PM,29.152,,,,,
72,06/24/10 04:00:00 PM,29.152,,,,,
73,06/24/10 05:00:00 PM,29.152,,,,,
