"Plot Title: 1156692 "
"#","Time, GMT+08:00","Temp, ¡C()","Coupler Attached()","Host Connected()","Coupler Detached()","Stopped()","End Of File()"
1,06/21/10 05:00:00 PM,24.545,,,,,
2,06/21/10 06:00:00 PM,24.448,,,,,
3,06/21/10 07:00:00 PM,24.931,,,,,
4,06/21/10 08:00:00 PM,29.152,,,,,
5,06/21/10 09:00:00 PM,29.152,,,,,
6,06/21/10 10:00:00 PM,29.053,,,,,
7,06/21/10 11:00:00 PM,29.053,,,,,
8,06/22/10 12:00:00 AM,29.053,,,,,
9,06/22/10 01:00:00 AM,28.953,,,,,
10,06/22/10 02:00:00 AM,29.053,,,,,
11,06/22/10 03:00:00 AM,29.053,,,,,
12,06/22/10 04:00:00 AM,29.053,,,,,
13,06/22/10 05:00:00 AM,29.053,,,,,
14,06/22/10 06:00:00 AM,28.953,,,,,
15,06/22/10 07:00:00 AM,29.053,,,,,
16,06/22/10 08:00:00 AM,29.252,,,,,
17,06/22/10 09:00:00 AM,29.252,,,,,
18,06/22/10 10:00:00 AM,29.152,,,,,
19,06/22/10 11:00:00 AM,29.352,,,,,
20,06/22/10 12:00:00 PM,29.252,,,,,
21,06/22/10 01:00:00 PM,29.252,,,,,
22,06/22/10 02:00:00 PM,29.252,,,,,
23,06/22/10 03:00:00 PM,29.252,,,,,
24,06/22/10 04:00:00 PM,29.252,,,,,
25,06/22/10 05:00:00 PM,29.252,,,,,
26,06/22/10 06:00:00 PM,29.252,,,,,
27,06/22/10 07:00:00 PM,29.252,,,,,
28,06/22/10 08:00:00 PM,29.152,,,,,
29,06/22/10 09:00:00 PM,29.053,,,,,
30,06/22/10 10:00:00 PM,29.152,,,,,
31,06/22/10 11:00:00 PM,29.152,,,,,
32,06/23/10 12:00:00 AM,29.053,,,,,
33,06/23/10 01:00:00 AM,29.053,,,,,
34,06/23/10 02:00:00 AM,29.053,,,,,
35,06/23/10 03:00:00 AM,29.053,,,,,
36,06/23/10 04:00:00 AM,28.953,,,,,
37,06/23/10 05:00:00 AM,29.053,,,,,
38,06/23/10 06:00:00 AM,29.053,,,,,
39,06/23/10 07:00:00 AM,29.053,,,,,
40,06/23/10 08:00:00 AM,29.252,,,,,
41,06/23/10 09:00:00 AM,29.152,,,,,
42,06/23/10 10:00:00 AM,29.252,,,,,
43,06/23/10 11:00:00 AM,29.352,,,,,
44,06/23/10 12:00:00 PM,29.252,,,,,
45,06/23/10 01:00:00 PM,29.252,,,,,
46,06/23/10 02:00:00 PM,29.252,,,,,
47,06/23/10 03:00:00 PM,29.252,,,,,
48,06/23/10 04:00:00 PM,29.252,,,,,
49,06/23/10 05:00:00 PM,29.252,,,,,
50,06/23/10 06:00:00 PM,29.252,,,,,
51,06/23/10 07:00:00 PM,29.152,,,,,
52,06/23/10 08:00:00 PM,29.152,,,,,
53,06/23/10 09:00:00 PM,29.152,,,,,
54,06/23/10 10:00:00 PM,29.152,,,,,
55,06/23/10 11:00:00 PM,29.152,,,,,
56,06/24/10 12:00:00 AM,29.053,,,,,
57,06/24/10 01:00:00 AM,29.053,,,,,
58,06/24/10 02:00:00 AM,29.053,,,,,
59,06/24/10 03:00:00 AM,29.053,,,,,
60,06/24/10 04:00:00 AM,28.953,,,,,
61,06/24/10 05:00:00 AM,28.953,,,,,
62,06/24/10 06:00:00 AM,29.053,,,,,
63,06/24/10 07:00:00 AM,29.053,,,,,
64,06/24/10 08:00:00 AM,29.252,,,,,
65,06/24/10 09:00:00 AM,29.252,,,,,
66,06/24/10 10:00:00 AM,29.252,,,,,
67,06/24/10 11:00:00 AM,29.252,,,,,
68,06/24/10 12:00:00 PM,29.252,,,,,
69,06/24/10 01:00:00 PM,29.252,,,,,
70,06/24/10 02:00:00 PM,29.152,,,,,
71,06/24/10 03:00:00 PM,29.252,,,,,
72,06/24/10 04:00:00 PM,29.152,,,,,
73,06/24/10 05:00:00 PM,29.252,,,,,
74,06/24/10 06:00:00 PM,29.152,,,,,
75,06/24/10 06:16:05 PM,,Logged,Logged,,,
76,06/24/10 06:16:54 PM,,,,Logged,,
77,06/24/10 07:00:00 PM,29.152,,,,,
78,06/24/10 08:00:00 PM,29.152,,,,,
79,06/24/10 09:00:00 PM,29.053,,,,,
80,06/24/10 10:00:00 PM,29.053,,,,,
81,06/24/10 11:00:00 PM,29.053,,,,,
82,06/25/10 12:00:00 AM,29.053,,,,,
83,06/25/10 01:00:00 AM,29.053,,,,,
84,06/25/10 02:00:00 AM,29.053,,,,,
85,06/25/10 03:00:00 AM,29.053,,,,,
86,06/25/10 04:00:00 AM,28.953,,,,,
87,06/25/10 05:00:00 AM,28.953,,,,,
88,06/25/10 06:00:00 AM,28.953,,,,,
89,06/25/10 07:00:00 AM,28.953,,,,,
90,06/25/10 08:00:00 AM,29.152,,,,,
91,06/25/10 09:00:00 AM,29.252,,,,,
92,06/25/10 10:00:00 AM,29.152,,,,,
93,06/25/10 11:00:00 AM,29.152,,,,,
94,06/25/10 12:00:00 PM,29.252,,,,,
95,06/25/10 01:00:00 PM,29.252,,,,,
96,06/25/10 02:00:00 PM,29.252,,,,,
97,06/25/10 03:00:00 PM,29.252,,,,,
98,06/25/10 04:00:00 PM,29.252,,,,,
99,06/25/10 05:00:00 PM,29.252,,,,,
100,06/25/10 06:00:00 PM,29.252,,,,,
101,06/25/10 07:00:00 PM,29.252,,,,,
102,06/25/10 08:00:00 PM,29.152,,,,,
103,06/25/10 09:00:00 PM,29.152,,,,,
104,06/25/10 10:00:00 PM,29.152,,,,,
105,06/25/10 11:00:00 PM,29.053,,,,,
106,06/26/10 12:00:00 AM,29.053,,,,,
107,06/26/10 01:00:00 AM,29.053,,,,,
108,06/26/10 02:00:00 AM,29.053,,,,,
109,06/26/10 03:00:00 AM,29.053,,,,,
110,06/26/10 04:00:00 AM,29.053,,,,,
111,06/26/10 05:00:00 AM,29.053,,,,,
112,06/26/10 06:00:00 AM,29.053,,,,,
113,06/26/10 07:00:00 AM,28.953,,,,,
114,06/26/10 08:00:00 AM,29.252,,,,,
115,06/26/10 09:00:00 AM,29.152,,,,,
116,06/26/10 10:00:00 AM,29.152,,,,,
117,06/26/10 11:00:00 AM,29.152,,,,,
118,06/26/10 12:00:00 PM,29.252,,,,,
119,06/26/10 01:00:00 PM,29.252,,,,,
120,06/26/10 02:00:00 PM,29.152,,,,,
121,06/26/10 03:00:00 PM,29.152,,,,,
122,06/26/10 04:00:00 PM,29.252,,,,,
123,06/26/10 05:00:00 PM,29.252,,,,,
124,06/26/10 06:00:00 PM,29.252,,,,,
