"Plot Title: 941246 "
"#","Time, GMT+08:00","Temp, ¡C()","Coupler Attached()","Host Connected()","Coupler Detached()","Stopped()","End Of File()"
1,06/21/10 05:00:00 PM,23.677,,,,,
2,06/21/10 06:00:00 PM,23.869,,,,,
3,06/21/10 07:00:00 PM,24.641,,,,,
4,06/21/10 08:00:00 PM,27.862,,,,,
5,06/21/10 09:00:00 PM,27.764,,,,,
6,06/21/10 10:00:00 PM,27.665,,,,,
7,06/21/10 11:00:00 PM,27.665,,,,,
8,06/22/10 12:00:00 AM,27.764,,,,,
9,06/22/10 01:00:00 AM,27.961,,,,,
10,06/22/10 02:00:00 AM,28.060,,,,,
11,06/22/10 03:00:00 AM,28.159,,,,,
12,06/22/10 04:00:00 AM,28.159,,,,,
13,06/22/10 05:00:00 AM,28.258,,,,,
14,06/22/10 06:00:00 AM,28.258,,,,,
15,06/22/10 07:00:00 AM,28.258,,,,,
16,06/22/10 08:00:00 AM,28.060,,,,,
17,06/22/10 09:00:00 AM,27.862,,,,,
18,06/22/10 10:00:00 AM,28.060,,,,,
19,06/22/10 11:00:00 AM,28.357,,,,,
20,06/22/10 12:00:00 PM,27.272,,,,,
21,06/22/10 01:00:00 PM,27.961,,,,,
22,06/22/10 02:00:00 PM,27.665,,,,,
23,06/22/10 03:00:00 PM,27.173,,,,,
24,06/22/10 04:00:00 PM,26.977,,,,,
25,06/22/10 05:00:00 PM,26.977,,,,,
26,06/22/10 06:00:00 PM,29.452,,,,,
27,06/22/10 07:00:00 PM,29.552,,,,,
28,06/22/10 08:00:00 PM,28.655,,,,,
29,06/22/10 09:00:00 PM,29.452,,,,,
30,06/22/10 10:00:00 PM,29.552,,,,,
31,06/22/10 11:00:00 PM,29.552,,,,,
32,06/23/10 12:00:00 AM,29.452,,,,,
33,06/23/10 01:00:00 AM,29.352,,,,,
34,06/23/10 02:00:00 AM,29.252,,,,,
35,06/23/10 03:00:00 AM,29.152,,,,,
36,06/23/10 04:00:00 AM,29.053,,,,,
37,06/23/10 05:00:00 AM,29.252,,,,,
38,06/23/10 06:00:00 AM,29.053,,,,,
39,06/23/10 07:00:00 AM,29.252,,,,,
40,06/23/10 08:00:00 AM,29.452,,,,,
41,06/23/10 09:00:00 AM,30.154,,,,,
42,06/23/10 10:00:00 AM,29.352,,,,,
43,06/23/10 11:00:00 AM,29.953,,,,,
44,06/23/10 12:00:00 PM,29.652,,,,,
45,06/23/10 01:00:00 PM,29.252,,,,,
46,06/23/10 02:00:00 PM,29.053,,,,,
47,06/23/10 03:00:00 PM,30.054,,,,,
48,06/23/10 04:00:00 PM,29.853,,,,,
49,06/23/10 05:00:00 PM,29.452,,,,,
50,06/23/10 06:00:00 PM,28.953,,,,,
51,06/23/10 07:00:00 PM,30.054,,,,,
52,06/23/10 08:00:00 PM,28.853,,,,,
53,06/23/10 09:00:00 PM,29.053,,,,,
54,06/23/10 10:00:00 PM,28.655,,,,,
55,06/23/10 11:00:00 PM,28.060,,,,,
56,06/24/10 12:00:00 AM,28.060,,,,,
57,06/24/10 01:00:00 AM,28.060,,,,,
58,06/24/10 02:00:00 AM,28.060,,,,,
59,06/24/10 03:00:00 AM,28.060,,,,,
60,06/24/10 04:00:00 AM,28.060,,,,,
61,06/24/10 05:00:00 AM,28.159,,,,,
62,06/24/10 06:00:00 AM,28.159,,,,,
63,06/24/10 07:00:00 AM,28.159,,,,,
64,06/24/10 08:00:00 AM,29.152,,,,,
65,06/24/10 09:00:00 AM,28.555,,,,,
66,06/24/10 10:00:00 AM,28.754,,,,,
67,06/24/10 11:00:00 AM,28.456,,,,,
68,06/24/10 12:00:00 PM,28.258,,,,,
69,06/24/10 01:00:00 PM,28.456,,,,,
70,06/24/10 02:00:00 PM,29.152,,,,,
71,06/24/10 03:00:00 PM,29.252,,,,,
72,06/24/10 04:00:00 PM,29.853,,,,,
73,06/24/10 05:00:00 PM,29.152,,,,,
74,06/24/10 06:00:00 PM,28.655,,,,,
75,06/24/10 06:35:39 PM,,Logged,Logged,,,
76,06/24/10 06:35:52 PM,,,Logged,,,
77,06/24/10 06:35:56 PM,,,,Logged,,
78,06/24/10 06:36:00 PM,,Logged,Logged,,,
79,06/24/10 06:37:15 PM,,,,Logged,,
80,06/24/10 07:00:00 PM,29.352,,,,,
81,06/24/10 08:00:00 PM,29.452,,,,,
82,06/24/10 09:00:00 PM,29.552,,,,,
83,06/24/10 10:00:00 PM,29.352,,,,,
84,06/24/10 11:00:00 PM,29.252,,,,,
85,06/25/10 12:00:00 AM,29.152,,,,,
86,06/25/10 01:00:00 AM,28.853,,,,,
87,06/25/10 02:00:00 AM,28.655,,,,,
88,06/25/10 03:00:00 AM,28.655,,,,,
89,06/25/10 04:00:00 AM,28.555,,,,,
90,06/25/10 05:00:00 AM,28.655,,,,,
91,06/25/10 06:00:00 AM,28.655,,,,,
92,06/25/10 07:00:00 AM,28.655,,,,,
93,06/25/10 08:00:00 AM,29.053,,,,,
94,06/25/10 09:00:00 AM,30.054,,,,,
95,06/25/10 10:00:00 AM,28.853,,,,,
96,06/25/10 11:00:00 AM,29.752,,,,,
97,06/25/10 12:00:00 PM,29.652,,,,,
98,06/25/10 01:00:00 PM,29.053,,,,,
99,06/25/10 02:00:00 PM,29.252,,,,,
100,06/25/10 03:00:00 PM,29.853,,,,,
101,06/25/10 04:00:00 PM,29.352,,,,,
